Archer_A5v4_EU_0.9.1_0.2_up_boot[180313-rel54477].bin,2018-03-13
wr740nv5_wr741ndv5_en_3_16_9_up_boot(150312).bin,2015-03-24
wr710nv2_fs_uk_8M_3_16_12_up_boot(150507).bin,2015-05-07
TL-R480T+v9_un_9.0.0_20170517-rel31097_up.bin,2017-05-17
LTE_GATEWAYv3_1.9.0_0.9.1_up_boot(190307)_2019-03-07_14.20.35.bin,2019-03-07
Archer C4000(US)_V3_190609.bin,2019-06-10
Archer AX6000(EU)_V1_190701.bin,2019-07-01
Archer_VR2600v1_1.3.0_0.8.0_up_boot(160330)_2016-03-30_11.18.24.bin,2016-03-30
wr820rv1-eu-up_2018-08-17_20.17.18.bin,2018-08-17
ax6000v1_eu_20190822.bin,2019-08-22
archer_c5v2_en-up-ver3-17-1-P1[20150908-rel40831].bin,2015-09-08
Archer_D7v1_0.9.1_1.1_up_boot(150824)_2015-08-24_11.34.20.bin,2015-08-24
TL-WR802Nv4_EU_0.9.1_3.17_up_boot[190218-rel36066].bin,2019-02-18
Archer_VR400V2_0.1.0_0.9.1_up_boot(170224)_2017-02-24_09.38.26.bin,2017-02-24
c9v5_eu-us-jp_up_1-2-2-20180423rel85787.bin,2018-04-23
TL-WR902ACv3_EU_0.9.1_0.1_up_boot[170717-rel42170].bin,2017-07-17
wr945nv1_eu_3_16_9_up_boot(161028).bin,2016-10-28
TL-R600VPNv4_un_4.0.3_20180530-rel63202_up.bin,2018-05-30
TL-WR841Nv14_EU_0.9.1_4.16_up_boot[171208-rel59714].bin,2017-12-08
Archer A7(EU)_V5_190811.bin,2019-08-10
C2600-UN-up-ver1-1-2-P1[20150924-rel66045].bin,2015-09-24
Archer_VR2800vV1_1.1.0_0.9.1_up_boot(170502)_2017-05-02_20.12.23.bin,2017-05-02
Archer C5400(EU)_V2_170912.bin,2017-09-12
LTE_GATEWAYv3_1.8.0_0.9.1_up_boot(190226)_2019-02-26_15.53.49.bin,2019-02-26
LTE_GATEWAYv3_1.5.0_0.9.1_up_boot(180913)_13.09.41.bin,2018-09-13
TL-WR902ACv3_EU_0.9.1_0.1_up_boot[170828-rel57433].bin,2017-08-28
ArcherC9v5-1_2_1-up-180328-eu_jp_us.bin,2018-03-27
wr810nv2_eu_3_16_9_up_boot(160509).bin,2016-05-09
Archer_A5v4_EU_0.9.1_0.1_up_boot[171218-rel71344].bin,2017-12-18
ArcherC6v2_eu-up-ver1-0-1-P1[20180627-rel42764].bin,2018-06-27
ArcherA6v2_eu-up-ver1-1-0-P1[20181224-rel49176].bin,2018-12-24
Archer_C3200v1_0.9.1_0.1_up_boot(150831)_2015-08-31_13.36.26.bin,2015-08-31
c9v5_eu-up-ver1-2-4-P1_20190403-rel63869.bin,2019-04-03
C2600v1_UN-up-ver1-1-7-P1[20160902-rel33228].bin,2016-09-02
TL-WR841HPv5_UN_0.9.1_1.0_up_boot[170608-rel59578].bin,2017-06-08
LTE_GATEWAYv3_1.6.0_0.9.1_up_boot(181022)_12.04.23.bin,2018-10-22
Archer_C50v4_EU_0.9.1_0.2_up_boot[190125-rel63783].bin,2019-01-25
Archer_D20v1_0.8.0_1.1_up_boot(150728)_2015-07-28_09.22.46.bin,2015-07-29
wr843nv3_eu_3_16_9_up_boot(160624).bin,2016-06-24
Archer_D9v1_0.9.1_0.1_up_boot(150514)_2015-05-14_15.19.19.bin,2015-05-15
ax6000v1_us-up-ver1-0-4-P1[20190310-rel74999]_signed_2019-03-11_13.54.54.bin,2019-03-11
TL-R470T+v6_un_6.0.2_20180211-rel60963_up.bin,2018-02-11
Archer_VR600vV2_1.0.0_0.9.1_up_boot(170814)_2017-08-14_18.28.17.bin,2017-08-14
Archer_VR900V3_0.2.0_0.9.1_up_boot(170303)_2017-03-03_16.43.02.bin,2017-03-03
wr740nv5_wr741ndv5_en_ipv6_3_16_9_up_boot(150605).bin,2015-06-09
TL-ER6020v2_un_2.0.0_20171222-rel70765_up.bin,2017-12-23
archer_c5v2_en-up-ver3-17-3-P1[20150130-rel33049].bin,2015-01-30
Archer_C20v5_EU_0.9.1_4.16_up_boot[181127-rel56357].bin,2018-11-27
wr741ndv5_en_3_16_9_up_boot(141113).bin,2014-11-14
Archer_D5v2_0.9.1_0.1_up_boot(150731)_2015-07-31_14.43.37.bin,2015-07-31
archer_c5v2_en-up-ver3-17-6-P1[20150515-rel63652].bin,2015-05-15
Archer_D20v1_1.2.0_0.8.0_up_boot(160216)_2016-02-16_16.43.43.bin,2016-02-16
wr1043nv5-up-ver1-0-3-P1[20161118-rel64282].bin,2016-11-18
TL-ER6020v2_un_2.0.2_20180702-rel59031_up.bin,2018-07-02
Archer_MR600v1_1.1.0_0.9.1_[190412-rel66770]_up_boot_2019-04-12_18.39.25.bin,2019-04-12
wr740nv7_eu_3_16_9_up_boot(160708).bin,2016-07-13
Archer_C50v4(A50v4)_EU_0.9.1_0.1_up_boot[171129-rel59954].bin,2017-11-29
Archer_D7bv1_0.9.1_0.7_up_boot(150528)_2015-05-28_16.05.27.bin,2015-05-28
Archer_D7v1_0.9.1_0.12_up_boot(150514)_2015-05-14_09.22.09.bin,2015-05-15
wr720nv2-eu-up.bin,2016-04-26
wr940nv6_eu_3_17_1_up_boot(170325).bin,2017-03-25
Archer_VR600V2_0.2.0_0.9.1_up_boot(190725)_2019-07-25_18.01.15.bin,2019-07-25
Archer_D2v1_0.8.0_1.2_up_boot(150921)_2015-09-21_10.59.54.bin,2015-09-21
TL-WR840Nv6_EU_0.9.1_4.16_up_boot[180614-rel40494].bin,2018-06-14
a9v6_us-up-ver1-0-3-P1[20190226-rel62939]_2019-02-26_17.42.27.bin,2019-02-26
Archer_C20iv1_0.9.1_4.0_up_boot(160518)_2016-05-18_09.51.09.bin,2016-05-18
wr1043ndv4_eu-up-ver3-16-9-P1[20160607-rel58297].bin,2016-06-07
Archer_VR300V1_1.0.0_0.8.0_up_boot(181214)_2018-12-14_14.24.56.bin,2018-12-14
TL-R480T+v9_un_9.0.1_20180117-rel30328_up.bin,2018-01-17
Archer_D2v1_0.8.0_1.1_up_boot(150730)_2015-07-30_17.20.32.bin,2015-07-30
Archer_D7bv1_0.9.1_0.6_up_boot(150113)_2015-01-13_17.48.30.bin,2015-01-14
