DAP-2360_REVB-FIRMWARE-V207-RC043.BIN,busybox,1.14.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,iproute2,2,,openssl,0.9.8g,,wpa_supplicant,2.0,cve-2019-16275|cve-2019-11555|cve-2018-14526|cve-2017-13088|cve-2017-13087|cve-2017-13086|cve-2017-13084|cve-2017-13082|cve-2017-13081|cve-2017-13080|cve-2017-13079|cve-2017-13078|cve-2017-13077|cve-2015-5316|cve-2015-5315|cve-2015-5314|cve-2015-4146|cve-2015-4145|cve-2015-4144|cve-2015-4143|cve-2015-4142|cve-2015-4141|cve-2015-1863|cve-2014-3686
DAP-2360_REVB_FIRMWARE-V210-RC050.BIN,busybox,1.14.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,iproute2,2,,openssl,1.0.2d,cve-2019-1563|cve-2019-1559|cve-2019-1552|cve-2019-1547|cve-2018-5407|cve-2018-0739|cve-2018-0737|cve-2018-0734|cve-2018-0732|cve-2017-3738|cve-2016-0701|cve-2017-3736|cve-2017-3732|cve-2015-3193|cve-2017-3737|cve-2017-3736|cve-2017-3735|cve-2017-3732|cve-2015-3193|cve-2017-3731|cve-2016-8610|cve-2016-7055|cve-2016-6306|cve-2016-6304|cve-2016-6303|cve-2016-6302|cve-2016-2842|cve-2016-0799|cve-2016-2183|cve-2016-2182|cve-2016-2181|cve-2016-2180|cve-2016-2179|cve-2016-2178|cve-2016-2177|cve-2016-2176|cve-2016-2109|cve-2016-2107|cve-2013-0169|cve-2016-2106|cve-2016-2105|cve-2016-0800|cve-2016-0799|cve-2016-2842|cve-2016-0798|cve-2016-0797|cve-2016-0705|cve-2016-0702|cve-2016-0701|cve-2015-3197|cve-2015-3195|cve-2015-3194|cve-2015-3193|cve-2015-1794,wpa_supplicant,2.0,cve-2019-16275|cve-2019-11555|cve-2018-14526|cve-2017-13088|cve-2017-13087|cve-2017-13086|cve-2017-13084|cve-2017-13082|cve-2017-13081|cve-2017-13080|cve-2017-13079|cve-2017-13078|cve-2017-13077|cve-2015-5316|cve-2015-5315|cve-2015-5314|cve-2015-4146|cve-2015-4145|cve-2015-4144|cve-2015-4143|cve-2015-4142|cve-2015-4141|cve-2015-1863|cve-2014-3686
DAP-2553 FW-NEW_V1.25RC016.BIN,iproute2,2,,openssl,0.9.8a,,wpa_supplicant,0.4,
DAP-2553_FIRMWARE_1.30.RC055.BIN,iproute2,2,,openssl,0.9.8a,,wpa_supplicant,0.4,
DAP-2553_REVA_FIRMWARE-V131-RC071.BIN,iproute2,2,,openssl,0.9.8z,cve-2017-3735|cve-2015-0292|cve-2014-8176|cve-2014-3566,wpa_supplicant,0.4,
DAP-2553_REVB_FW_V3.01_RC010.BIN,busybox,1.14.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,iproute2,2,,openssl,0.9.8z,cve-2017-3735|cve-2015-0292|cve-2014-8176|cve-2014-3566,wpa_supplicant,2.0,cve-2019-16275|cve-2019-11555|cve-2018-14526|cve-2017-13088|cve-2017-13087|cve-2017-13086|cve-2017-13084|cve-2017-13082|cve-2017-13081|cve-2017-13080|cve-2017-13079|cve-2017-13078|cve-2017-13077|cve-2015-5316|cve-2015-5315|cve-2015-5314|cve-2015-4146|cve-2015-4145|cve-2015-4144|cve-2015-4143|cve-2015-4142|cve-2015-4141|cve-2015-1863|cve-2014-3686
DAP-2590_V1.20RC039.BIN,glibc,2.4,cve-2016-1234|cve-2013-7423|cve-2013-4788|cve-2013-1914|cve-2011-1659|cve-2011-1071|cve-2011-1658|cve-2010-3847|cve-2011-0536|cve-2011-1095|cve-2011-1089|cve-2010-0296|cve-2011-1071|cve-2010-2898|cve-2010-1917|cve-2007-4782|cve-2010-3856|cve-2010-3847|cve-2010-0830|cve-2010-0296|cve-2009-4881|cve-2008-1391|cve-2009-4880|cve-2008-1391|cve-2006-7254,iproute2,2,,openssl,0.9.8g,,wpa_supplicant,0.4,
DAP-2660-FIRMWARE-V106-RC025.BIN,busybox,1.14.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,iproute2,2,,openssl,0.9.8z,cve-2017-3735|cve-2015-0292|cve-2014-8176|cve-2014-3566,wpa_supplicant,2.0,cve-2019-16275|cve-2019-11555|cve-2018-14526|cve-2017-13088|cve-2017-13087|cve-2017-13086|cve-2017-13084|cve-2017-13082|cve-2017-13081|cve-2017-13080|cve-2017-13079|cve-2017-13078|cve-2017-13077|cve-2015-5316|cve-2015-5315|cve-2015-5314|cve-2015-4146|cve-2015-4145|cve-2015-4144|cve-2015-4143|cve-2015-4142|cve-2015-4141|cve-2015-1863|cve-2014-3686
DAP-2690B-FIRMWARE-V311-RC078.BIN,busybox,1.14.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,iproute2,2,,openssl,0.9.8z,cve-2017-3735|cve-2015-0292|cve-2014-8176|cve-2014-3566,wpa_supplicant,0.8,
DAP-2695-FIRMWARE-V111-RC044.BIN,busybox,1.14.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,iproute2,2,,openssl,0.9.8g,,wpa_supplicant,2.0,cve-2019-16275|cve-2019-11555|cve-2018-14526|cve-2017-13088|cve-2017-13087|cve-2017-13086|cve-2017-13084|cve-2017-13082|cve-2017-13081|cve-2017-13080|cve-2017-13079|cve-2017-13078|cve-2017-13077|cve-2015-5316|cve-2015-5315|cve-2015-5314|cve-2015-4146|cve-2015-4145|cve-2015-4144|cve-2015-4143|cve-2015-4142|cve-2015-4141|cve-2015-1863|cve-2014-3686
DAP-2695_FIRMWARE_1.00RC015.BIN,busybox,1.14.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,iproute2,2,,openssl,0.9.8g,,wpa_supplicant,2.0,cve-2019-16275|cve-2019-11555|cve-2018-14526|cve-2017-13088|cve-2017-13087|cve-2017-13086|cve-2017-13084|cve-2017-13082|cve-2017-13081|cve-2017-13080|cve-2017-13079|cve-2017-13078|cve-2017-13077|cve-2015-5316|cve-2015-5315|cve-2015-5314|cve-2015-4146|cve-2015-4145|cve-2015-4144|cve-2015-4143|cve-2015-4142|cve-2015-4141|cve-2015-1863|cve-2014-3686
DAP-3320_FW_V1.01-RC014.BIN,busybox,1.14.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,iproute2,2,,openssl,0.9.8z,cve-2017-3735|cve-2015-0292|cve-2014-8176|cve-2014-3566,wpa_supplicant,2.0,cve-2019-16275|cve-2019-11555|cve-2018-14526|cve-2017-13088|cve-2017-13087|cve-2017-13086|cve-2017-13084|cve-2017-13082|cve-2017-13081|cve-2017-13080|cve-2017-13079|cve-2017-13078|cve-2017-13077|cve-2015-5316|cve-2015-5315|cve-2015-5314|cve-2015-4146|cve-2015-4145|cve-2015-4144|cve-2015-4143|cve-2015-4142|cve-2015-4141|cve-2015-1863|cve-2014-3686
DAP-3520-FIRMWARE-V115-RC039.BIN,iproute2,2,,openssl,0.9.8a,,wpa_supplicant,0.4,
DAP-3525 FW_V1.11.BIN,openssl,0.9.8a,,wpa_supplicant,0.4,
DAP1320A1_FW120B07.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,wpa_supplicant,0.8,
DAP1320A2_FW121B01.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,wpa_supplicant,0.8,
DAP1320B1_FW204B02.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,wpa_supplicant,2.0,cve-2019-16275|cve-2019-11555|cve-2018-14526|cve-2017-13088|cve-2017-13087|cve-2017-13086|cve-2017-13084|cve-2017-13082|cve-2017-13081|cve-2017-13080|cve-2017-13079|cve-2017-13078|cve-2017-13077|cve-2015-5316|cve-2015-5315|cve-2015-5314|cve-2015-4146|cve-2015-4145|cve-2015-4144|cve-2015-4143|cve-2015-4142|cve-2015-4141|cve-2015-1863|cve-2014-3686
DAP1320C1_FW301B10.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,wpa_supplicant,2.0,cve-2019-16275|cve-2019-11555|cve-2018-14526|cve-2017-13088|cve-2017-13087|cve-2017-13086|cve-2017-13084|cve-2017-13082|cve-2017-13081|cve-2017-13080|cve-2017-13079|cve-2017-13078|cve-2017-13077|cve-2015-5316|cve-2015-5315|cve-2015-5314|cve-2015-4146|cve-2015-4145|cve-2015-4144|cve-2015-4143|cve-2015-4142|cve-2015-4141|cve-2015-1863|cve-2014-3686
DAP1320C1_FW302B01.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,wpa_supplicant,2.0,cve-2019-16275|cve-2019-11555|cve-2018-14526|cve-2017-13088|cve-2017-13087|cve-2017-13086|cve-2017-13084|cve-2017-13082|cve-2017-13081|cve-2017-13080|cve-2017-13079|cve-2017-13078|cve-2017-13077|cve-2015-5316|cve-2015-5315|cve-2015-5314|cve-2015-4146|cve-2015-4145|cve-2015-4144|cve-2015-4143|cve-2015-4142|cve-2015-4141|cve-2015-1863|cve-2014-3686
DAP1320_FIRMWARE_100B24.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,wpa_supplicant,0.8,
DAP1320_FIRMWARE_110.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,wpa_supplicant,0.8,
DAP1320_FW_1_11B10.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,wpa_supplicant,0.8,
DAP1330_REVA_FW101B04.BIN,avahi,0.6.31,,busybox,1.21.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2011-5325,libpng,1.6.17,,lighttpd,1.4.34,cve-2014-2324|cve-2014-2323,uclibc,0.9.33.2,cve-2017-9729|cve-2017-9728,wpa_supplicant,2.0,cve-2019-16275|cve-2019-11555|cve-2018-14526|cve-2017-13088|cve-2017-13087|cve-2017-13086|cve-2017-13084|cve-2017-13082|cve-2017-13081|cve-2017-13080|cve-2017-13079|cve-2017-13078|cve-2017-13077|cve-2015-5316|cve-2015-5315|cve-2015-5314|cve-2015-4146|cve-2015-4145|cve-2015-4144|cve-2015-4143|cve-2015-4142|cve-2015-4141|cve-2015-1863|cve-2014-3686
DAP1360B1_FW214B05.BIN,busybox,1.8.2,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,l2tpd,2t,,miniupnp,1.0,,nslookup,1.9.17,,openssl,0.9.8b,
DAP1360C1_FW306B01.BIN,busybox,1.13.4,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,miniupnp,1.0,,openssl,0.9.8b,,uclibc,0.9.30,
DAP1360_REVB_FW_210.BIN,busybox,1.8.2,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.33,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,l2tpd,2t,,miniupnp,1.0,,nslookup,1.9.17,,openssl,0.9.8b,
DAP1520A1_FW105B02.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,uclibc,0.9.28,
DAP1520A1_FW108B01.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,uclibc,0.9.28,
DAP1520_A1_FW106B04.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,uclibc,0.9.28,
DAP1562_FW_100.BIN,busybox,1.12.4,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,glibc,2.2,cve-2016-1234|cve-2015-0235|cve-2013-7423|cve-2013-1914|cve-2011-1659|cve-2011-1071|cve-2011-1658|cve-2010-3847|cve-2011-0536|cve-2011-1095|cve-2011-1089|cve-2010-0296|cve-2011-1071|cve-2010-2898|cve-2010-1917|cve-2007-4782|cve-2010-3856|cve-2010-3847|cve-2010-0830|cve-2010-0296|cve-2009-4881|cve-2008-1391|cve-2009-4880|cve-2008-1391|cve-2006-7254|cve-2005-3590|cve-2004-1453|cve-2004-1382|cve-2004-0968|cve-2004-0968|cve-2003-0028|cve-2002-0391|cve-2002-1265,iptables,1.4.2,cve-2012-2663|cve-2012-6638,lighttpd,1.4.18,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-1427|cve-2011-4362|cve-2010-0295|cve-2008-4360|cve-2008-4359|cve-2008-4298|cve-2008-1270|cve-2008-1111|cve-2008-0983,miniupnp,1.4,,openssl,0.9.8h,,wpa_supplicant,0.6,
DAP1562_FW_110.BIN,busybox,1.17.4,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,glibc,2.2,cve-2016-1234|cve-2015-0235|cve-2013-7423|cve-2013-1914|cve-2011-1659|cve-2011-1071|cve-2011-1658|cve-2010-3847|cve-2011-0536|cve-2011-1095|cve-2011-1089|cve-2010-0296|cve-2011-1071|cve-2010-2898|cve-2010-1917|cve-2007-4782|cve-2010-3856|cve-2010-3847|cve-2010-0830|cve-2010-0296|cve-2009-4881|cve-2008-1391|cve-2009-4880|cve-2008-1391|cve-2006-7254|cve-2005-3590|cve-2004-1453|cve-2004-1382|cve-2004-0968|cve-2004-0968|cve-2003-0028|cve-2002-0391|cve-2002-1265,iptables,1.4.2,cve-2012-2663|cve-2012-6638,lighttpd,1.4.18,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-1427|cve-2011-4362|cve-2010-0295|cve-2008-4360|cve-2008-4359|cve-2008-4298|cve-2008-1270|cve-2008-1111|cve-2008-0983,miniupnp,1.4,,openssl,0.9.8h,,uclibc,0.9.31,,wpa_supplicant,0.6,
DAP1620A1_FW104B04.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,uclibc,0.9.28,
DAP1620A1_FW104B04BETA03.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,uclibc,0.9.28,
DAP1620A1_FW105B05.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,uclibc,0.9.28,
DAP1620_A1_FW103B08.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,uclibc,0.9.28,
DAP1650_FW103WWB07.BIN,busybox,1.14.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,flash,1.0,cve-2012-1303,libexif,12.3.2,,libflac,1.2.1,,libvorbis,1.3.2,,logger,0.01,,openssl,0.9.8z,cve-2017-3735|cve-2015-0292|cve-2014-8176|cve-2014-3566,samba,3.0.24,cve-2019-3880|cve-2019-3824|cve-2018-10858|cve-2018-1139|cve-2017-12163|cve-2017-12151|cve-2017-12150|cve-2016-2118|cve-2016-2115|cve-2016-2112|cve-2016-2111|cve-2015-0005|cve-2016-2110|cve-2015-7560|cve-2015-5299|cve-2013-4496|cve-2013-4475|cve-2013-4408|cve-2013-4124|cve-2013-0214|cve-2013-0213|cve-2012-6150|cve-2012-1182|cve-2011-2724|cve-2010-0547|cve-2011-2694|cve-2011-2522|cve-2011-0719|cve-2010-3069|cve-2010-2063|cve-2010-1642|cve-2010-1635|cve-2010-0547|cve-2009-2948|cve-2009-2906|cve-2009-2813|cve-2007-6015|cve-2007-5398|cve-2007-4572|cve-2007-2447|cve-2007-2446,wpa_supplicant,0.5,
DAP1665_A1_A2_FW_V115B08.BIN,boa,0.94,,busybox,1.13.4,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.33,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,l2tpd,2t,,miniupnp,1.0,,nslookup,1.9.17,,openssl,0.9.8b,,uclibc,0.9.30.3,
DAP1665_A1_A2_FW_V116B01_WW.BIN,boa,0.94,,busybox,1.13.4,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.33,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,l2tpd,2t,,miniupnp,1.0,,nslookup,1.9.17,,openssl,0.9.8b,,uclibc,0.9.30.3,
DAP1665_A1_FW100B15.BIN,boa,0.94,,busybox,1.13.4,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,l2tpd,2t,,miniupnp,1.0,,nslookup,1.9.17,,openssl,0.9.8b,,uclibc,0.9.30.3,
DAP1665_A1_FW110B11.BIN,boa,0.94,,busybox,1.13.4,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.33,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,l2tpd,2t,,miniupnp,1.0,,nslookup,1.9.17,,openssl,0.9.8b,,uclibc,0.9.30.3,
DAP1665_A1_FW111B05.BIN,boa,0.94,,busybox,1.13.4,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.33,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,l2tpd,2t,,miniupnp,1.0,,nslookup,1.9.17,,openssl,0.9.8b,,uclibc,0.9.30.3,
DAP1665_A1_FW113B05.BIN,boa,0.94,,busybox,1.13.4,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.33,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,l2tpd,2t,,miniupnp,1.0,,nslookup,1.9.17,,openssl,0.9.8b,,uclibc,0.9.30.3,
DAP1665_A1_FW114B06.BIN,boa,0.94,,busybox,1.13.4,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.33,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,l2tpd,2t,,miniupnp,1.0,,nslookup,1.9.17,,openssl,0.9.8b,,uclibc,0.9.30.3,
DAP1665_FW200WWB19.BIN,busybox,1.22.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2014-9645,dnsmasq,2.45,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,iptables,1.4.21,cve-2012-2663|cve-2012-6638,logger,0.01,,openssl,1.0.2d,cve-2019-1563|cve-2019-1559|cve-2019-1552|cve-2019-1547|cve-2018-5407|cve-2018-0739|cve-2018-0737|cve-2018-0734|cve-2018-0732|cve-2017-3738|cve-2016-0701|cve-2017-3736|cve-2017-3732|cve-2015-3193|cve-2017-3737|cve-2017-3736|cve-2017-3735|cve-2017-3732|cve-2015-3193|cve-2017-3731|cve-2016-8610|cve-2016-7055|cve-2016-6306|cve-2016-6304|cve-2016-6303|cve-2016-6302|cve-2016-2842|cve-2016-0799|cve-2016-2183|cve-2016-2182|cve-2016-2181|cve-2016-2180|cve-2016-2179|cve-2016-2178|cve-2016-2177|cve-2016-2176|cve-2016-2109|cve-2016-2107|cve-2013-0169|cve-2016-2106|cve-2016-2105|cve-2016-0800|cve-2016-0799|cve-2016-2842|cve-2016-0798|cve-2016-0797|cve-2016-0705|cve-2016-0702|cve-2016-0701|cve-2015-3197|cve-2015-3195|cve-2015-3194|cve-2015-3193|cve-2015-1794
DAP1665_FW202WWB05_MIDDLE.BIN,busybox,1.22.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2014-9645,dnsmasq,2.78,cve-2017-15107,iptables,1.4.21,cve-2012-2663|cve-2012-6638,logger,0.01,,openssl,1.0.2d,cve-2019-1563|cve-2019-1559|cve-2019-1552|cve-2019-1547|cve-2018-5407|cve-2018-0739|cve-2018-0737|cve-2018-0734|cve-2018-0732|cve-2017-3738|cve-2016-0701|cve-2017-3736|cve-2017-3732|cve-2015-3193|cve-2017-3737|cve-2017-3736|cve-2017-3735|cve-2017-3732|cve-2015-3193|cve-2017-3731|cve-2016-8610|cve-2016-7055|cve-2016-6306|cve-2016-6304|cve-2016-6303|cve-2016-6302|cve-2016-2842|cve-2016-0799|cve-2016-2183|cve-2016-2182|cve-2016-2181|cve-2016-2180|cve-2016-2179|cve-2016-2178|cve-2016-2177|cve-2016-2176|cve-2016-2109|cve-2016-2107|cve-2013-0169|cve-2016-2106|cve-2016-2105|cve-2016-0800|cve-2016-0799|cve-2016-2842|cve-2016-0798|cve-2016-0797|cve-2016-0705|cve-2016-0702|cve-2016-0701|cve-2015-3197|cve-2015-3195|cve-2015-3194|cve-2015-3193|cve-2015-1794
DAP1720AX_FW100B14.BIN,busybox,1.14.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.45,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,iproute2,2,,l2tpd,2t,,logger,0.01,,openssl,1.0.2d,cve-2019-1563|cve-2019-1559|cve-2019-1552|cve-2019-1547|cve-2018-5407|cve-2018-0739|cve-2018-0737|cve-2018-0734|cve-2018-0732|cve-2017-3738|cve-2016-0701|cve-2017-3736|cve-2017-3732|cve-2015-3193|cve-2017-3737|cve-2017-3736|cve-2017-3735|cve-2017-3732|cve-2015-3193|cve-2017-3731|cve-2016-8610|cve-2016-7055|cve-2016-6306|cve-2016-6304|cve-2016-6303|cve-2016-6302|cve-2016-2842|cve-2016-0799|cve-2016-2183|cve-2016-2182|cve-2016-2181|cve-2016-2180|cve-2016-2179|cve-2016-2178|cve-2016-2177|cve-2016-2176|cve-2016-2109|cve-2016-2107|cve-2013-0169|cve-2016-2106|cve-2016-2105|cve-2016-0800|cve-2016-0799|cve-2016-2842|cve-2016-0798|cve-2016-0797|cve-2016-0705|cve-2016-0702|cve-2016-0701|cve-2015-3197|cve-2015-3195|cve-2015-3194|cve-2015-3193|cve-2015-1794,ssh,1.4.1,,uclibc,0.9.30,,wpa_supplicant,2.5,cve-2019-16275|cve-2019-11555|cve-2019-9499|cve-2019-9498|cve-2019-9497|cve-2018-14526|cve-2017-13088|cve-2017-13087|cve-2017-13086|cve-2017-13084|cve-2017-13082|cve-2017-13081|cve-2017-13080|cve-2017-13079|cve-2017-13078|cve-2017-13077
