COVR-1300E_FW100B11.BIN,busybox,1.22.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2014-9645,dnsmasq,2.45,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,iptables,1.4.21,cve-2012-2663|cve-2012-6638,logger,0.01,,uclibc,1.0.14,,wpa_supplicant,2.5,cve-2019-16275|cve-2019-11555|cve-2019-9499|cve-2019-9498|cve-2019-9497|cve-2018-14526|cve-2017-13088|cve-2017-13087|cve-2017-13086|cve-2017-13084|cve-2017-13082|cve-2017-13081|cve-2017-13080|cve-2017-13079|cve-2017-13078|cve-2017-13077
COVR-2600R_FW100B19.BIN,busybox,1.22.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2014-9645,dnsmasq,2.45,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,flash,1.0,cve-2012-1303,iproute2,2,,iptables,1.4.21,cve-2012-2663|cve-2012-6638,l2tpd,2t,,libflac,1.2.1,,libvorbis,1.3.2,,logger,0.01,,openssl,1.0.2h,cve-2019-1563|cve-2019-1559|cve-2019-1552|cve-2019-1547|cve-2018-5407|cve-2018-0739|cve-2018-0737|cve-2018-0734|cve-2018-0732|cve-2017-3738|cve-2016-0701|cve-2017-3736|cve-2017-3732|cve-2015-3193|cve-2017-3737|cve-2017-3736|cve-2017-3735|cve-2017-3732|cve-2015-3193|cve-2017-3731|cve-2016-8610|cve-2016-7055|cve-2016-6306|cve-2016-6304|cve-2016-6303|cve-2016-6302|cve-2016-2183|cve-2016-2182|cve-2016-2181|cve-2016-2180|cve-2016-2179|cve-2016-2178|cve-2016-2177,samba,3.0.24,cve-2019-3880|cve-2019-3824|cve-2018-10858|cve-2018-1139|cve-2017-12163|cve-2017-12151|cve-2017-12150|cve-2016-2118|cve-2016-2115|cve-2016-2112|cve-2016-2111|cve-2015-0005|cve-2016-2110|cve-2015-7560|cve-2015-5299|cve-2013-4496|cve-2013-4475|cve-2013-4408|cve-2013-4124|cve-2013-0214|cve-2013-0213|cve-2012-6150|cve-2012-1182|cve-2011-2724|cve-2010-0547|cve-2011-2694|cve-2011-2522|cve-2011-0719|cve-2010-3069|cve-2010-2063|cve-2010-1642|cve-2010-1635|cve-2010-0547|cve-2009-2948|cve-2009-2906|cve-2009-2813|cve-2007-6015|cve-2007-5398|cve-2007-4572|cve-2007-2447|cve-2007-2446,ssh,1.4.1,,uclibc,1.0.14,
COVR-2600R_FW101B05_0911_TXBFDISABLE(0911190427).BIN,busybox,1.22.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2014-9645,dnsmasq,2.45,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,flash,1.0,cve-2012-1303,iproute2,2,,iptables,1.4.21,cve-2012-2663|cve-2012-6638,l2tpd,2t,,libflac,1.2.1,,libvorbis,1.3.2,,logger,0.01,,openssl,1.0.2h,cve-2019-1563|cve-2019-1559|cve-2019-1552|cve-2019-1547|cve-2018-5407|cve-2018-0739|cve-2018-0737|cve-2018-0734|cve-2018-0732|cve-2017-3738|cve-2016-0701|cve-2017-3736|cve-2017-3732|cve-2015-3193|cve-2017-3737|cve-2017-3736|cve-2017-3735|cve-2017-3732|cve-2015-3193|cve-2017-3731|cve-2016-8610|cve-2016-7055|cve-2016-6306|cve-2016-6304|cve-2016-6303|cve-2016-6302|cve-2016-2183|cve-2016-2182|cve-2016-2181|cve-2016-2180|cve-2016-2179|cve-2016-2178|cve-2016-2177,samba,3.0.24,cve-2019-3880|cve-2019-3824|cve-2018-10858|cve-2018-1139|cve-2017-12163|cve-2017-12151|cve-2017-12150|cve-2016-2118|cve-2016-2115|cve-2016-2112|cve-2016-2111|cve-2015-0005|cve-2016-2110|cve-2015-7560|cve-2015-5299|cve-2013-4496|cve-2013-4475|cve-2013-4408|cve-2013-4124|cve-2013-0214|cve-2013-0213|cve-2012-6150|cve-2012-1182|cve-2011-2724|cve-2010-0547|cve-2011-2694|cve-2011-2522|cve-2011-0719|cve-2010-3069|cve-2010-2063|cve-2010-1642|cve-2010-1635|cve-2010-0547|cve-2009-2948|cve-2009-2906|cve-2009-2813|cve-2007-6015|cve-2007-5398|cve-2007-4572|cve-2007-2447|cve-2007-2446,ssh,1.4.1,,uclibc,1.0.14,
COVR-2600R_FW101B05_BETA01_HCR2.BIN,busybox,1.22.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2014-9645,dnsmasq,2.45,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,flash,1.0,cve-2012-1303,iproute2,2,,iptables,1.4.21,cve-2012-2663|cve-2012-6638,l2tpd,2t,,libflac,1.2.1,,libvorbis,1.3.2,,logger,0.01,,openssl,1.0.2h,cve-2019-1563|cve-2019-1559|cve-2019-1552|cve-2019-1547|cve-2018-5407|cve-2018-0739|cve-2018-0737|cve-2018-0734|cve-2018-0732|cve-2017-3738|cve-2016-0701|cve-2017-3736|cve-2017-3732|cve-2015-3193|cve-2017-3737|cve-2017-3736|cve-2017-3735|cve-2017-3732|cve-2015-3193|cve-2017-3731|cve-2016-8610|cve-2016-7055|cve-2016-6306|cve-2016-6304|cve-2016-6303|cve-2016-6302|cve-2016-2183|cve-2016-2182|cve-2016-2181|cve-2016-2180|cve-2016-2179|cve-2016-2178|cve-2016-2177,samba,3.0.24,cve-2019-3880|cve-2019-3824|cve-2018-10858|cve-2018-1139|cve-2017-12163|cve-2017-12151|cve-2017-12150|cve-2016-2118|cve-2016-2115|cve-2016-2112|cve-2016-2111|cve-2015-0005|cve-2016-2110|cve-2015-7560|cve-2015-5299|cve-2013-4496|cve-2013-4475|cve-2013-4408|cve-2013-4124|cve-2013-0214|cve-2013-0213|cve-2012-6150|cve-2012-1182|cve-2011-2724|cve-2010-0547|cve-2011-2694|cve-2011-2522|cve-2011-0719|cve-2010-3069|cve-2010-2063|cve-2010-1642|cve-2010-1635|cve-2010-0547|cve-2009-2948|cve-2009-2906|cve-2009-2813|cve-2007-6015|cve-2007-5398|cve-2007-4572|cve-2007-2447|cve-2007-2446,ssh,1.4.1,,uclibc,1.0.14,
COVR-3902_EXTENDER_FW101B02.BIN,busybox,1.22.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2014-9645,dnsmasq,2.45,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,iptables,1.4.21,cve-2012-2663|cve-2012-6638,logger,0.01,,uclibc,1.0.14,,wpa_supplicant,2.5,cve-2019-16275|cve-2019-11555|cve-2019-9499|cve-2019-9498|cve-2019-9497|cve-2018-14526|cve-2017-13088|cve-2017-13087|cve-2017-13086|cve-2017-13084|cve-2017-13082|cve-2017-13081|cve-2017-13080|cve-2017-13079|cve-2017-13078|cve-2017-13077
COVR-3902_ROUTER_V101B05.BIN,busybox,1.22.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2014-9645,dnsmasq,2.45,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,flash,1.0,cve-2012-1303,iproute2,2,,iptables,1.4.21,cve-2012-2663|cve-2012-6638,l2tpd,2t,,libflac,1.2.1,,libvorbis,1.3.2,,logger,0.01,,openssl,1.0.2h,cve-2019-1563|cve-2019-1559|cve-2019-1552|cve-2019-1547|cve-2018-5407|cve-2018-0739|cve-2018-0737|cve-2018-0734|cve-2018-0732|cve-2017-3738|cve-2016-0701|cve-2017-3736|cve-2017-3732|cve-2015-3193|cve-2017-3737|cve-2017-3736|cve-2017-3735|cve-2017-3732|cve-2015-3193|cve-2017-3731|cve-2016-8610|cve-2016-7055|cve-2016-6306|cve-2016-6304|cve-2016-6303|cve-2016-6302|cve-2016-2183|cve-2016-2182|cve-2016-2181|cve-2016-2180|cve-2016-2179|cve-2016-2178|cve-2016-2177,samba,3.0.24,cve-2019-3880|cve-2019-3824|cve-2018-10858|cve-2018-1139|cve-2017-12163|cve-2017-12151|cve-2017-12150|cve-2016-2118|cve-2016-2115|cve-2016-2112|cve-2016-2111|cve-2015-0005|cve-2016-2110|cve-2015-7560|cve-2015-5299|cve-2013-4496|cve-2013-4475|cve-2013-4408|cve-2013-4124|cve-2013-0214|cve-2013-0213|cve-2012-6150|cve-2012-1182|cve-2011-2724|cve-2010-0547|cve-2011-2694|cve-2011-2522|cve-2011-0719|cve-2010-3069|cve-2010-2063|cve-2010-1642|cve-2010-1635|cve-2010-0547|cve-2009-2948|cve-2009-2906|cve-2009-2813|cve-2007-6015|cve-2007-5398|cve-2007-4572|cve-2007-2447|cve-2007-2446,ssh,1.4.1,,uclibc,1.0.14,
DAP-1120_REVA_FW_100B07.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,wpa_supplicant,2.0,cve-2019-16275|cve-2019-11555|cve-2018-14526|cve-2017-13088|cve-2017-13087|cve-2017-13086|cve-2017-13084|cve-2017-13082|cve-2017-13081|cve-2017-13080|cve-2017-13079|cve-2017-13078|cve-2017-13077|cve-2015-5316|cve-2015-5315|cve-2015-5314|cve-2015-4146|cve-2015-4145|cve-2015-4144|cve-2015-4143|cve-2015-4142|cve-2015-4141|cve-2015-1863|cve-2014-3686
DAP-1320_REVA_FIRMWARE_1.21.B05.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,wpa_supplicant,0.8,
DAP-1320_REVB_FIRMWARE_203B02.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,wpa_supplicant,2.0,cve-2019-16275|cve-2019-11555|cve-2018-14526|cve-2017-13088|cve-2017-13087|cve-2017-13086|cve-2017-13084|cve-2017-13082|cve-2017-13081|cve-2017-13080|cve-2017-13079|cve-2017-13078|cve-2017-13077|cve-2015-5316|cve-2015-5315|cve-2015-5314|cve-2015-4146|cve-2015-4145|cve-2015-4144|cve-2015-4143|cve-2015-4142|cve-2015-4141|cve-2015-1863|cve-2014-3686
DAP-1330_REVA_FW100B21.BIN,avahi,0.6.31,,busybox,1.21.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2011-5325,libpng,1.6.17,,lighttpd,1.4.34,cve-2014-2324|cve-2014-2323,uclibc,0.9.33.2,cve-2017-9729|cve-2017-9728,wpa_supplicant,2.0,cve-2019-16275|cve-2019-11555|cve-2018-14526|cve-2017-13088|cve-2017-13087|cve-2017-13086|cve-2017-13084|cve-2017-13082|cve-2017-13081|cve-2017-13080|cve-2017-13079|cve-2017-13078|cve-2017-13077|cve-2015-5316|cve-2015-5315|cve-2015-5314|cve-2015-4146|cve-2015-4145|cve-2015-4144|cve-2015-4143|cve-2015-4142|cve-2015-4141|cve-2015-1863|cve-2014-3686
DAP-1360 B FW 2.11_2.11.BIN,busybox,1.8.2,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,l2tpd,2t,,miniupnp,1.0,,nslookup,1.9.17,,openssl,0.9.8b,
DAP-1360 FW_V3.02NAB08.BIN,busybox,1.13.4,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,miniupnp,1.0,,openssl,0.9.8b,,uclibc,0.9.30,
DAP-1360_A1_FW_V1.10B08.BIN,miniupnp,1.0,,openssl,0.9.8b,,tor,1.4,
DAP-1360_REVC1_FW_V3.03B04.BIN,busybox,1.13.4,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,miniupnp,1.0,,openssl,0.9.8b,,uclibc,0.9.30,
DAP-1520_A1_FW_109B01_BETA04.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,uclibc,0.9.28,
DAP-1520_REVA1_FIRMWARE_1.00.B21.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,uclibc,0.9.28,
DAP-1620_REVA_FW101B05.BIN,busybox,1.6.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,dnsmasq,2.41,cve-2019-14513|cve-2017-14491|cve-2013-0198|cve-2012-3411|cve-2012-3411|cve-2009-2958|cve-2009-2957,lighttpd,1.4.28,cve-2014-2324|cve-2014-2323|cve-2013-4560|cve-2013-4559|cve-2013-4508|cve-2011-4362,uclibc,0.9.28,
DAP-1650_REVA_FIRMWARE_1.02B02.BIN,busybox,1.14.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,flash,1.0,cve-2012-1303,libexif,12.3.2,,libflac,1.2.1,,libvorbis,1.3.2,,logger,0.01,,openssl,0.9.8g,,samba,3.0.24,cve-2019-3880|cve-2019-3824|cve-2018-10858|cve-2018-1139|cve-2017-12163|cve-2017-12151|cve-2017-12150|cve-2016-2118|cve-2016-2115|cve-2016-2112|cve-2016-2111|cve-2015-0005|cve-2016-2110|cve-2015-7560|cve-2015-5299|cve-2013-4496|cve-2013-4475|cve-2013-4408|cve-2013-4124|cve-2013-0214|cve-2013-0213|cve-2012-6150|cve-2012-1182|cve-2011-2724|cve-2010-0547|cve-2011-2694|cve-2011-2522|cve-2011-0719|cve-2010-3069|cve-2010-2063|cve-2010-1642|cve-2010-1635|cve-2010-0547|cve-2009-2948|cve-2009-2906|cve-2009-2813|cve-2007-6015|cve-2007-5398|cve-2007-4572|cve-2007-2447|cve-2007-2446,wpa_supplicant,0.5,
DAP-2310B-FIRMWARE-V202-RC019.BIN,busybox,1.14.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,iproute2,2,,openssl,0.9.8g,,wpa_supplicant,2.0,cve-2019-16275|cve-2019-11555|cve-2018-14526|cve-2017-13088|cve-2017-13087|cve-2017-13086|cve-2017-13084|cve-2017-13082|cve-2017-13081|cve-2017-13080|cve-2017-13079|cve-2017-13078|cve-2017-13077|cve-2015-5316|cve-2015-5315|cve-2015-5314|cve-2015-4146|cve-2015-4145|cve-2015-4144|cve-2015-4143|cve-2015-4142|cve-2015-4141|cve-2015-1863|cve-2014-3686
DAP-2330_REVA_FIRMWARE-V106-RC020.BIN,busybox,1.14.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,iproute2,2,,openssl,0.9.8g,,wpa_supplicant,2.0,cve-2019-16275|cve-2019-11555|cve-2018-14526|cve-2017-13088|cve-2017-13087|cve-2017-13086|cve-2017-13084|cve-2017-13082|cve-2017-13081|cve-2017-13080|cve-2017-13079|cve-2017-13078|cve-2017-13077|cve-2015-5316|cve-2015-5315|cve-2015-5314|cve-2015-4146|cve-2015-4145|cve-2015-4144|cve-2015-4143|cve-2015-4142|cve-2015-4141|cve-2015-1863|cve-2014-3686
DAP-2360B-FIRMWARE-V202-RC021.BIN,busybox,1.14.1,cve-2018-20679|cve-2016-6301|cve-2015-9261|cve-2013-1813|cve-2011-2716,iproute2,2,,openssl,0.9.8g,,wpa_supplicant,2.0,cve-2019-16275|cve-2019-11555|cve-2018-14526|cve-2017-13088|cve-2017-13087|cve-2017-13086|cve-2017-13084|cve-2017-13082|cve-2017-13081|cve-2017-13080|cve-2017-13079|cve-2017-13078|cve-2017-13077|cve-2015-5316|cve-2015-5315|cve-2015-5314|cve-2015-4146|cve-2015-4145|cve-2015-4144|cve-2015-4143|cve-2015-4142|cve-2015-4141|cve-2015-1863|cve-2014-3686
