busybox,0.60.3,04/27/2002
busybox,0.60.4,09/18/2002
busybox,0.60.5,10/27/2002
busybox,1.00.,10/13/2004
busybox,1.01.,08/17/2005
busybox,1.1.0,01/14/2006
busybox,1.1.1,02/22/2006
busybox,1.1.2,04/10/2006
busybox,1.1.3,05/17/2006
busybox,1.2.0,06/30/2006
busybox,1.2.1,07/28/2006
busybox,1.2.2.1,12/13/2006
busybox,1.2.2,10/24/2006
busybox,1.3.0,12/13/2006
busybox,1.3.1,12/27/2006
busybox,1.3.2,01/20/2007
busybox,1.4.0,01/20/2007
busybox,1.4.1,01/24/2007
busybox,1.4.2,03/18/2007
busybox,1.5.0,03/22/2007
busybox,1.5.1,05/20/2007
busybox,1.5.2,03/21/2008
busybox,1.6.0,06/02/2007
busybox,1.6.1,06/30/2007
busybox,1.6.2,11/26/2007
busybox,1.7.0,08/24/2007
busybox,1.7.1,09/16/2007
busybox,1.7.2,09/30/2007
busybox,1.7.3,11/03/2007
busybox,1.7.4,11/24/2007
busybox,1.7.5,03/21/2008
busybox,1.8.0,11/04/2007
busybox,1.8.1,11/10/2007
busybox,1.8.2,11/24/2007
busybox,1.8.3,03/21/2008
busybox,1.9.0,12/24/2007
busybox,1.9.1,02/17/2008
busybox,1.9.2,03/21/2008
busybox,1.10.0,03/22/2008
busybox,1.10.1,04/19/2008
busybox,1.10.2,05/08/2008
busybox,1.10.3,06/05/2008
busybox,1.10.4,06/25/2008
busybox,1.11.0,06/25/2008
busybox,1.11.1,07/11/2008
busybox,1.11.2,08/21/2008
busybox,1.11.3,09/28/2008
busybox,1.12.0,08/20/2008
busybox,1.12.1,09/28/2008
busybox,1.12.2,11/09/2009
busybox,1.12.3,12/18/2008
busybox,1.12.4,12/31/2008
busybox,1.13.0,11/09/2008
busybox,1.13.1,12/18/2008
busybox,1.13.2,12/31/2008
busybox,1.13.3,03/04/2009
busybox,1.13.4,04/15/2009
busybox,1.14.0,04/15/2009
busybox,1.14.1,05/27/2009
busybox,1.14.2,06/21/2009
busybox,1.14.3,08/02/2009
busybox,1.14.4,09/12/2009
busybox,1.15.0,08/23/2009
busybox,1.15.1,09/12/2009
busybox,1.15.2,10/08/2009
busybox,1.15.3,12/12/2009
busybox,1.16.0,01/26/2010
busybox,1.16.1,03/28/2010
busybox,1.16.2,06/12/2010
busybox,1.17.0,07/06/2010
busybox,1.17.1,07/24/2010
busybox,1.17.2,08/23/2010
busybox,1.17.3,10/09/2010
busybox,1.17.4,11/22/2010
busybox,1.18.0,11/23/2010
busybox,1.18.1,12/21/2010
busybox,1.18.2,01/16/2011
busybox,1.18.3,02/28/2011
busybox,1.18.4,03/13/2011
busybox,1.18.5,06/12/2011
busybox,1.19.0,08/13/2011
busybox,1.19.1,08/28/2011
busybox,1.19.2,09/06/2011
busybox,1.19.3,10/29/2011
busybox,1.19.4,02/04/2012
busybox,1.20.0,04/22/2012
busybox,1.20.1,05/28/2012
busybox,1.20.2,07/02/2012
busybox,1.21.0,01/21/2013
busybox,1.21.1,06/29/2013
busybox,1.22.0,12/31/2013
busybox,1.22.1,01/20/2014
busybox,1.23.0,12/24/2014
busybox,1.23.1,01/27/2015
busybox,1.23.2,03/23/2015
busybox,1.24.0,10/12/2015
busybox,1.24.1,10/24/2015
busybox,1.24.2,03/17/2016
busybox,1.25.0,06/21/2016
busybox,1.25.1,10/07/2016
busybox,1.26.0,12/20/2016
busybox,1.26.1,01/02/2017
busybox,1.26.2,01/10/2017
busybox,1.27.0,07/03/2017
busybox,1.27.1,07/18/2017
busybox,1.27.2,08/17/2017
busybox,1.28.0,01/02/2018
busybox,1.28.1,02/15/2018
busybox,1.28.2,03/26/2018
busybox,1.28.3,04/03/2018
busybox,1.28.4,05/22/2018
busybox,1.29.0,07/02/2018
busybox,1.29.1,07/15/2018
busybox,1.29.2,07/31/2018
busybox,1.29.3,09/09/2018
busybox,1.30.0,12/30/2018
busybox,1.30.1,02/14/2019
busybox,1.31.0,06/10/2019
busybox,1.31.1,10/25/2019
